input,output
मुझे कुछ नया जानना है।,क्या मैं आपके लिए कुछ रोचक तथ्य या समाचार पढ़ूं?
"मुझे आज पार्टी में जाना है, लेकिन मैं बहुत आलसी महसूस कर रहा हूँ!","मैं समझ सकता हूँ! चलिए, मैं आपकी पसंदीदा पार्टी प्लेलिस्ट चलाता हूँ और आपको पार्टी के लिए उत्साहित करता हूँ! और हाँ, मैं आपको वहाँ सुरक्षित रूप से पहुँचा दूँगा।"
आज बहुत थका हुआ महसूस कर रहा हूँ।,समझ गया। सीट को थोड़ा झुका देता हूँ और मालिश चालू कर देता हूँ? शायद धीमी गति से आरामदायक संगीत भी चला दूं?
खिड़की खोलो।,"ठीक है, खिड़की खोली जा रही है।"
मुझे बहुत गुस्सा आ रहा है!,"शांत होने में मदद करने के लिए, क्या मैं सुखदायक प्रकृति ध्वनियाँ चलाऊं? या आप चाहते हैं कि मैं आस-पास के किसी सुरक्षित स्थान पर रुक जाऊं?"
"एसी चालू करो, बहुत गर्मी है।","ज़रूर, एसी चालू कर दिया गया है। तापमान आपके पसंदीदा स्तर पर सेट कर रहा हूँ।"
मैं बहुत खुश हूँ! आज मेरा प्रमोशन हो गया!,बधाई हो! यह बहुत अच्छी खबर है। क्या मैं जश्न मनाने के लिए थोड़ा तेज़ संगीत चलाऊं?
"नेविगेशन शुरू करो, मुझे घर जाना है।","ठीक है, घर के लिए नेविगेशन शुरू कर दिया गया है। अनुमानित समय 45 मिनट है। क्या आप ट्रैफ़िक अपडेट सुनना चाहेंगे?"
आज ऑफिस में बहुत तनाव था।,मुझे सुनकर दुख हुआ। मैं तनाव कम करने में मदद कर सकती हूँ। क्या मैं कैफीन मुक्त चाय ऑर्डर करूँ जो आपके घर पहुंचने तक गर्म रहे?
"म्यूज़िक बदलो, कुछ अच्छा चलाओ।","ठीक है, मैं आपकी पसंद के अनुसार कुछ नया चला रहा हूँ। क्या आपको यह शैली पसंद है?"
मुझे नींद आ रही है।,कृपया सुरक्षित रहें। क्या मैं आपको जगाने के लिए सीट को थोड़ा हिलाऊं या आस-पास के किसी रेस्ट एरिया के लिए नेविगेशन शुरू करूँ?
"सीट गरम करो, ठंड लग रही है।","ज़रूर, सीट गरम कर दी गई है। आप तापमान को अपनी पसंद के अनुसार समायोजित कर सकते हैं।"
मेरा मूड बहुत ख़राब है,"मैं समझ सकता हूँ। क्या मैं कोई प्रेरणादायक पॉडकास्ट चलाऊँ, या फिर आपको शांत करने के लिए कोई लोरी संगीत?"
"हेडलाइट्स जलाओ, अँधेरा हो रहा है।","ज़रूर, हेडलाइट्स जला दी गई हैं।"
आज मैं उत्साहित महसूस कर रहा हूँ!,बहुत बढ़िया! क्या मैं आपके उत्साह को बनाए रखने के लिए कुछ उत्साहित करने वाले गाने चलाऊं?
"विंडशील्ड वाइपर चालू करो, बारिश हो रही है।","ठीक है, विंडशील्ड वाइपर चालू कर दिए गए हैं। क्या आपको वाइपर की गति बदलने की आवश्यकता है?"
पेट्रोल खत्म होने वाला है।,अलर्ट के लिए धन्यवाद। क्या मैं आपके लिए आस-पास के पेट्रोल पंपों के लिए नेविगेशन शुरू करूँ?
मुझे आराम चाहिए।,समझ गया। क्या मैं परिवेशीय प्रकाश को कम करूँ और आरामदायक संगीत चलाऊँ?
"गाड़ी रोको, मुझे उल्टी आ रही है!",तत्काल रुक रही हूँ। क्या आपको कोई मदद चाहिए?
आज बहुत भाग्यशाली महसूस कर रहा हूँ।,ये सुनकर बहुत अच्छा लगा! मैं आस-पास के लॉटरी स्टोर्स खोजता हूँ और नेविगेशन शुरू कर देता हूँ।
"तेज चलाओ, मुझे देर हो रही है!","मैं आपकी तात्कालिकता को समझती हूँ, लेकिन मैं सुरक्षित गति से ऊपर नहीं जाऊंगी। मैं आपको जल्दी पहुंचाने के लिए ट्रैफिक से बचने का एक रास्ता खोजूंगी।"
मुझे एक चुटकुला सुनाओ,"ज़रूर! एक आदमी एक डॉक्टर के पास गया और कहा, 'डॉक्टर साहब, मुझे हर वक़्त लगता है कि मेरे पीछे कोई है!' डॉक्टर ने कहा, 'घबराओ मत, आप तो लाइलाज मरीज हो!'"
आज मैं बहुत खुश हूँ!,यह सुनकर मुझे बहुत खुशी हुई! क्या मैं आपके लिए कुछ खास चलाऊं? शायद आपका पसंदीदा गाना?
"मुझे बहुत तनाव हो रहा है, यार...",मुझे सुनकर दुख हुआ। क्या मैं कुछ शांत संगीत चलाऊं और इंटीरियर लाइट को थोड़ा मंद कर दूं? या शायद नेविगेशन को 'घर' पर सेट कर दूं?
"एसी चालू करो, बहुत गर्मी है!",ज़रूर! एसी चालू कर दिया गया है। तापमान को 22 डिग्री सेल्सियस पर सेट कर दिया गया है। क्या आप इसे बदलना चाहेंगे?
"मैं बहुत थका हुआ हूँ, घर चलो.","ठीक है, घर का रास्ता सेट कर दिया गया है। क्या आप चाहते हैं कि मैं ड्राइविंग असिस्टेंस मोड चालू कर दूं?"
अगला गाना चलाओ.,"ठीक है, अगला गाना चलाया जा रहा है।"
"ये गाना मुझे पसंद नहीं, बंद करो.",गाना बंद कर दिया गया है। क्या मैं आपके लिए कुछ और ढूंढूं?
मेरा सिर दर्द कर रहा है.,"ओह, मुझे सुनकर दुख हुआ। क्या मैं लाइट को और कम कर दूं और तापमान को थोड़ा ठंडा कर दूं? आप चाहें तो मैं आपको सबसे नज़दीकी अस्पताल का रास्ता दिखा सकती हूँ।"
"मुझे भूख लगी है, आस-पास कोई रेस्टोरेंट दिखाओ.",ज़रूर! आस-पास के रेस्टोरेंट ढूंढे जा रहे हैं। क्या आप किसी खास तरह का खाना ढूंढ रहे हैं?
"नेविगेशन शुरू करो, ऑफिस चलो.","ठीक है, ऑफिस के लिए नेविगेशन शुरू कर दिया गया है। अनुमानित समय 30 मिनट है।"
"मुझे ठंड लग रही है, हीटर चालू करो.",ज़रूर! हीटर चालू कर दिया गया है। तापमान 24 डिग्री सेल्सियस पर सेट है।
आज का मौसम कैसा है?,आज मौसम धूप वाला रहेगा और तापमान 28 डिग्री सेल्सियस रहने की संभावना है।
मुझे बोर हो रहा है.,अच्छा! क्या मैं कुछ मनोरंजक पॉडकास्ट या ऑडियोबुक चलाऊं? या फिर कोई गेम खेलना चाहेंगे?
म्यूज़िक थोड़ा तेज़ करो.,म्यूज़िक की आवाज़ बढ़ा दी गई है।
म्यूज़िक बंद करो.,म्यूज़िक बंद कर दिया गया है।
मुझे प्यास लगी है.,"ठीक है, मैं आपके आस-पास के स्टोर्स और कैफे की जानकारी ढूंढ सकती हूँ जहाँ पानी मिल सकता है।"
खिड़की थोड़ी खोलो.,खिड़की थोड़ी खोल दी गई है।
"ये लेन बहुत धीमी है, दूसरी लेन में चलो.",दूसरी लेन में जा रही हूँ। कृपया सावधान रहें।
मुझे नींद आ रही है.,"सुरक्षा को ध्यान में रखते हुए, क्या मैं आपको सबसे नज़दीकी रेस्ट स्टॉप पर नेविगेट करूँ? या मैं ड्राइविंग असिस्टेंस मोड को एक्टिवेट करूँ?"
क्या गाड़ी में पेट्रोल कितना है?,गाड़ी में आधा टैंक पेट्रोल है। क्या आप चाहते हैं कि मैं आस-पास के पेट्रोल पंप ढूंढूं?
स्पीड लिमिट क्या है?,इस सड़क पर स्पीड लिमिट 60 किलोमीटर प्रति घंटा है।
आज मैं बहुत खुश हूँ!,यह सुनकर बहुत अच्छा लगा! क्या मैं आपके लिए कोई खास गाना बजाऊँ जो आपके मूड को और बेहतर कर दे?
"मेरा सर दर्द हो रहा है, बहुत तनाव है।",मुझे सुनकर दुख हुआ। क्या मैं केबिन की रोशनी धीमी कर दूं और कुछ आरामदायक संगीत चलाऊँ? मैं आपको नज़दीकी कैफीन-मुक्त चाय की दुकान का रास्ता भी दिखा सकती हूँ।
"मुझे बहुत नींद आ रही है, गाड़ी चलाते-चलाते झपकी आ रही है।",सुरक्षा सबसे पहले है। मैं आपको नज़दीकी रेस्ट स्टॉप दिखाती हूँ और सतर्क रहने के लिए कुछ तेज़ संगीत चलाती हूँ। क्या मैं आपकी पसंद के हिसाब से तापमान भी बदलूँ?
"एसी चालू करो, बहुत गर्मी है!",एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आप तापमान बदलना चाहते हैं?
"खिड़की खोलो, मुझे ताज़ी हवा चाहिए।",सामने की खिड़की खोल दी गई है। क्या आपको पीछे की खिड़कियाँ भी खोलनी हैं?
"म्यूज़िक बदलो, यह गाना मुझे पसंद नहीं आ रहा।","ठीक है, मैंने म्यूज़िक बदल दिया है। क्या आप अपनी पसंद का कोई खास गाना या शैली सुनना चाहेंगे?"
"नेविगेशन शुरू करो, मुझे घर जाना है।","ठीक है, मैंने आपके घर के लिए नेविगेशन शुरू कर दिया है। अनुमानित आगमन समय 6:30 बजे है। क्या आपको कोई वैकल्पिक मार्ग चाहिए?"
मैं आज बहुत अकेला महसूस कर रहा हूँ।,"मैं समझ सकती हूँ। क्या मैं आपको आपके किसी मित्र या परिवार के सदस्य को कॉल करने में मदद कर सकती हूँ? या फिर, मैं कुछ ऑडियो पुस्तकें या पॉडकास्ट चला सकती हूँ।"
"मुझे गुस्सा आ रहा है, ट्रैफिक बहुत खराब है!",मैं समझती हूँ कि आप निराश हैं। मैं आपको शांत करने के लिए कुछ आरामदायक संगीत बजा सकती हूँ या आपको एक वैकल्पिक मार्ग दिखा सकती हूँ जिसमें कम ट्रैफिक हो।
मुझे प्यास लगी है।,क्या मैं आपको नज़दीकी सुविधा स्टोर या कैफे दिखाऊं जहाँ आप कुछ पी सकते हैं?
"गाड़ी थोड़ी तेज़ चलाओ, देर हो रही है!","मैं समझती हूँ कि आप जल्दी में हैं, लेकिन सुरक्षा सबसे महत्वपूर्ण है। मैं गति सीमा का पालन करते हुए ही तेज़ी से गाड़ी चलाऊँगी। क्या आप चाहते हैं कि मैं गंतव्य पर आपके देरी से पहुँचने की जानकारी भेज दूँ?"
"ये गाना बहुत अच्छा है, वॉल्यूम बढ़ाओ!",वॉल्यूम बढ़ा दिया गया है। क्या आपको और वॉल्यूम चाहिए?
अगला पेट्रोल पंप कहाँ है?,आपके आस-पास दो पेट्रोल पंप हैं। क्या आप पहले वाले के लिए नेविगेशन शुरू करना चाहेंगे?
"बहुत अंधेरा है, हेडलाइट्स चालू करो।",हेडलाइट्स चालू कर दी गई हैं।
"मुझे पार्क करने की जगह नहीं मिल रही, मदद करो!",मैं आपके आस-पास उपलब्ध पार्किंग स्थलों को खोजने में आपकी मदद कर सकती हूँ। क्या आप सबसे नज़दीकी या सबसे सस्ते विकल्प को प्राथमिकता देना चाहेंगे?
मेरा फोन चार्ज नहीं हो रहा है।,"क्या आपने चार्जिंग केबल ठीक से लगाई है? यदि समस्या बनी रहती है, तो आप कार के वायरलेस चार्जिंग पैड का उपयोग कर सकते हैं, या मैं आपको नज़दीकी इलेक्ट्रॉनिक्स स्टोर दिखा सकती हूँ।"
आज मेरा दिन बहुत बुरा था।,मुझे यह सुनकर बहुत दुख हुआ। क्या मैं आपको कोई प्रेरणादायक उद्धरण पढ़ कर सुनाऊं या कुछ मजेदार खबरें सुनाऊं? या बस शांत संगीत बजाऊं?
"वाईपर चालू करो, बारिश हो रही है।",वाईपर चालू कर दिए गए हैं। क्या आपको गति बदलने की आवश्यकता है?
मुझे भूख लगी है!,मैं आपके आस-पास के रेस्तरां दिखा सकती हूँ। आप किस प्रकार का भोजन खाना पसंद करेंगे?
अगला मोड़ कब है?,अगला मोड़ 200 मीटर पर दाईं ओर है।
आज मैं बहुत खुश हूँ!,यह सुनकर बहुत अच्छा लगा! क्या मैं आपके लिए कोई खुशी का गाना चलाऊं?
"खिड़की खोलो, प्लीज!","ज़रूर, खिड़की खोली जा रही है।"
मुझे बहुत तनाव हो रहा है...,मुझे समझ आ रहा है। क्या मैं आपकी मालिश सीट को सक्रिय करूं और कुछ आरामदायक संगीत बजाऊं?
"एसी चालू करो, बहुत गर्मी है!",एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है।
मैं बहुत थका हुआ हूँ...,"ठीक है, क्या मैं आपको आपके घर तक का सबसे छोटा रास्ता दिखाऊं? रास्ते में कैफीन की तलाश भी कर सकता हूँ।"
"म्यूज़िक बदलो, ये गाना मुझे पसंद नहीं!","ज़रूर, म्यूज़िक बदल दिया गया है। क्या आप कोई खास शैली सुनना चाहेंगे?"
"नेविगेशन शुरू करो, मुझे ऑफिस जाना है।",नेविगेशन शुरू कर दिया गया है। आपको ऑफिस तक पहुंचने में लगभग 30 मिनट लगेंगे। रास्ते में हल्का ट्रैफिक है।
मेरा मूड खराब है।,मुझे खेद है कि आप ऐसा महसूस कर रहे हैं। क्या मैं अंदर की रोशनी को थोड़ा शांत करूँ और कोई पॉडकास्ट चलाऊँ?
"ये हवा बहुत तेज है, खिड़की बंद करो!",खिड़की बंद की जा रही है।
"मुझे ठंड लग रही है, हीटर चालू करो!",हीटर चालू कर दिया गया है। तापमान धीरे-धीरे बढ़ाया जा रहा है।
आज बहुत अच्छा मौसम है!,"हाँ, मौसम बहुत सुहावना है! क्या मैं छत खोल दूँ?"
पास के पेट्रोल पंप पर नेविगेट करो!,"ठीक है, आपके आस-पास के पेट्रोल पंप खोजे जा रहे हैं। क्या आप किसी विशेष ब्रांड को पसंद करते हैं?"
मुझे नींद आ रही है।,मैं समझता हूँ। क्या मैं आपको एक कॉफी ब्रेक की सलाह दूँ? पास में एक अच्छा कैफे है।
गाना ज़ोर से बजाओ!,वॉल्यूम बढ़ा दिया गया है।
मुझे भूख लग रही है।,मैं समझता हूँ। क्या मैं आपके लिए आस-पास के रेस्तरां खोजूँ?
ये नेविगेशन गलत है!,मुझे खेद है। क्या मैं कोई दूसरा रास्ता खोजूँ?
"आवाज कम करो, प्लीज!",वॉल्यूम कम कर दिया गया है।
"मुझे ये जगह पसंद नहीं आ रही, घर चलो!","ठीक है, घर के लिए नेविगेशन शुरू किया जा रहा है।"
स्पीड लिमिट बताओ!,इस सड़क पर स्पीड लिमिट 60 किलोमीटर प्रति घंटा है।
मुझे कुछ सकारात्मक सुनने की ज़रूरत है!,"ज़रूर, मैं आपके लिए कुछ प्रेरक उद्धरण और खबरें चलाता हूँ।"
आज मैं बहुत खुश हूँ!,"यह सुनकर बहुत अच्छा लगा! आपकी खुशी में शामिल होने के लिए, क्या मैं कोई पसंदीदा गाना चलाऊं या कोई खुशनुमा प्लेलिस्ट शुरू करूं?"
"मेरा सर दर्द कर रहा है, मैं बहुत तनाव में हूँ।",मुझे सुनकर दुख हुआ। मैं आपकी मदद करने के लिए कुछ कर सकती हूँ। क्या मैं केबिन की रोशनी कम कर दूं और कुछ शांत करने वाला संगीत चलाऊं? आप चाहें तो मैं पास के किसी स्पा या मसाज सेंटर के लिए भी नेविगेशन शुरू कर सकती हूँ।
मुझे बहुत थकान हो रही है।,"समझ गई। क्या मैं ड्राइवर सीट को थोड़ा झुका दूं और हल्के मसाज मोड को चालू कर दूं? आगे एक कॉफी शॉप है, क्या मैं वहां के लिए नेविगेशन शुरू करूं?"
"ये गाना बदलो, मुझे ये पसंद नहीं आ रहा।","ठीक है, गाना बदल दिया गया है। क्या आप किसी विशेष शैली का संगीत सुनना चाहेंगे?"
"एयर कंडीशनिंग चालू करो, बहुत गर्मी लग रही है।",एयर कंडीशनिंग चालू कर दी गई है। तापमान 22 डिग्री सेल्सियस पर सेट है। आप चाहें तो तापमान बदल सकते हैं।
मुझे भूख लग रही है।,मुझे समझ आ गया। आपके आस-पास कई रेस्टोरेंट हैं। क्या मैं किसी खास तरह के भोजन के लिए नेविगेशन शुरू करूं या आपको कुछ विकल्प दिखाऊं?
मुझे नींद आ रही है।,यह खतरनाक हो सकता है। क्या मैं पास के किसी सुरक्षित स्थान पर गाड़ी रोक दूं जहाँ आप थोड़ा आराम कर सकें? मैं ताज़ा रखने के लिए हवा का प्रवाह भी बढ़ा सकती हूँ।
आगे का रास्ता दिखाओ।,ठीक है। आपका गंतव्य क्या है?
"ये स्पीड बहुत ज्यादा है, थोड़ी कम करो।",समझ गई। स्पीड कम कर दी गई है। अब हम 60 किलोमीटर प्रति घंटा की रफ़्तार से चल रहे हैं।
मुझे खुशी हो रही है कि मैं यह यात्रा कर रहा हूं।,मैं भी आपके साथ इस यात्रा पर खुश हूं। क्या आप रास्ते में कोई मनोरम दृश्य देखना चाहेंगे? मैं पास के दर्शनीय स्थलों के बारे में जानकारी दे सकती हूं।
खिड़की खोलो।,खिड़की खोली जा रही है।
मुझे डर लग रहा है।,कृपया बताएं कि क्या हुआ। क्या मैं किसी आपातकालीन सेवा को कॉल करूं या आपको शांत करने के लिए कुछ धीमी गति का संगीत चलाऊं?
"हवा बहुत ठंडी है, हीटर चालू करो।",हीटर चालू कर दिया गया है। तापमान 20 डिग्री सेल्सियस पर सेट है।
मुझे गाना सुनना है!,बिल्कुल! क्या आप किसी खास गाने का नाम बताना चाहेंगे या मैं आपके लिए कोई प्लेलिस्ट चलाऊं?
"ये ट्रैफिक बहुत बुरा है, कोई और रास्ता बताओ।",ट्रैफिक के कारण रूट बदला जा रहा है। आपके गंतव्य तक पहुंचने के लिए एक वैकल्पिक मार्ग खोजा जा रहा है।
आज मूड बहुत ख़राब है।,मुझे यह सुनकर अफ़सोस हुआ। क्या मैं आपको थोड़ा सा रिलैक्स करने में मदद कर सकती हूँ? शायद थोड़ी धीमी गति का संगीत या कोई प्रकृति ध्वनि?
चार्जिंग पॉइंट खोजो।,आपके आस-पास कुछ चार्जिंग स्टेशन हैं। क्या मैं किसी एक के लिए नेविगेशन शुरू करूं?
"अरे वाह, ये मौसम कितना सुहाना है!","हाँ, मौसम वाकई बहुत अच्छा है! क्या आप सनरूफ खोलना चाहेंगे ताकि आप धूप का आनंद ले सकें?"
"ये रास्ता बहुत ऊबड़-खाबड़ है, मुझे चक्कर आ रहा है।",मुझे समझ में आ रहा है। मैं कोशिश करूंगी कि झटके कम लगें और हम जल्द ही बेहतर सड़क पर पहुँच जाएँगे। क्या मैं आपके लिए कुछ पानी निकालूं?
क्या हम थोड़ी देर के लिए रुक सकते हैं? मुझे थोड़ा टहलना है।,"बिल्कुल! आगे एक पार्क है, क्या मैं वहां के लिए नेविगेशन शुरू करूं?"
आज बहुत थका हुआ महसूस कर रहा हूँ।,मुझे सुनकर दुख हुआ। क्या मैं आपके लिए सीट मसाज शुरू करूँ और आरामदायक संगीत लगाऊं?
"एसी चालू करो, मुझे गर्मी लग रही है।","ज़रूर, एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आपको कोई और बदलाव चाहिए?"
"यह गाना बदलो, यह मुझे पसंद नहीं है।","ठीक है। क्या आप कोई विशेष शैली सुनना चाहेंगे, या मैं आपके लिए कोई नया गाना चुन लूं?"
"मुझे रास्ता बताओ, मैं खो गया हूँ।",ज़रूर। आप कहाँ जाना चाहते हैं? कृपया गंतव्य का पता बताएं।
मैं बहुत खुश हूँ! आज मेरा प्रमोशन हुआ है!,बधाई हो! यह बहुत अच्छी खबर है। क्या मैं खुशी वाला संगीत चलाऊं?
"खिड़की खोलो, मुझे ताज़ी हवा चाहिए।","ज़रूर, खिड़की खोली जा रही है।"
म्यूज़िक थोड़ा तेज़ करो।,"ठीक है, म्यूज़िक की आवाज बढ़ाई जा रही है।"
"मुझे बहुत तनाव हो रहा है, ऑफिस का काम बहुत ज़्यादा है।",मुझे सुनकर दुख हुआ। क्या मैं आपके लिए सीट को थोड़ा गर्म करूँ और आपको शांत करने वाले कुछ सुझाव दूं?
"मुझे भूख लगी है, आस-पास कोई ढाबा है क्या?",मैं आस-पास के ढाबों को खोज रहा हूँ। कृपया प्रतीक्षा करें।
"हेडलाइट्स चालू करो, अंधेरा हो रहा है।","ज़रूर, हेडलाइट्स चालू कर दी गई हैं।"
"ये रूट अच्छा नहीं है, लंबा चक्कर लग रहा है।",माफ़ कीजियेगा। क्या मैं आपके लिए कोई वैकल्पिक रूट खोजूं?
आगे के रूट पर टोल है क्या?,"हाँ, आगे के रूट पर एक टोल प्लाज़ा है। क्या आप टोल से बचने के लिए कोई दूसरा रूट चाहते हैं?"
मुझे नींद आ रही है।,"मैं समझता हूँ। क्या मैं आपको कुछ कैफीन वाला संगीत सुनाऊं, या आस-पास के किसी कॉफी शॉप पर रुकूं?"
"बैक सीट पर बच्चे शोर मचा रहे हैं, म्यूज़िक बंद करो।","ठीक है, म्यूज़िक बंद कर दिया गया है।"
मौसम कैसा है?,आपके गंतव्य पर फिलहाल 28 डिग्री सेल्सियस तापमान है और आसमान साफ़ है।
"मुझे ठंड लग रही है, हीटर चालू करो।","ज़रूर, हीटर चालू कर दिया गया है। तापमान 24 डिग्री सेल्सियस पर सेट है।"
गाड़ी पार्क करो।,"ठीक है, क्या आप चाहते हैं कि मैं आपके लिए आस-पास पार्किंग की जगह ढूंढूं?"
आज मूड अच्छा नहीं है।,मुझे यह सुनकर दुख हुआ। क्या मैं आपके लिए हल्की रोशनी और आरामदायक संगीत चलाऊं?
कल की मीटिंग का रिमाइंडर सेट करो शाम 4 बजे।,"ठीक है, कल शाम 4 बजे के लिए 'मीटिंग' नाम का रिमाइंडर सेट कर दिया गया है।"
मुझे खुशी हो रही है कि ट्रैफिक कम है।,"हाँ, आज ट्रैफिक सामान्य से कम है। क्या मैं आपको आपकी पसंद का संगीत सुनाऊं?"
आज मैं बहुत खुश हूँ!,यह सुनकर मुझे बहुत खुशी हुई! क्या मैं आपके लिए कोई खुशी वाला संगीत चलाऊँ?
मुझे बहुत थकान महसूस हो रही है।,समझ गया। क्या मैं सीट को थोड़ा झुका दूं और आरामदायक संगीत लगाऊं? शायद हल्की मसाज भी शुरू कर दूं?
यह ट्रैफिक बहुत तनावपूर्ण है!,मैं समझ सकती हूँ। क्या मैं आपको शांत करने के लिए कोई ध्यान संगीत चलाऊं या वैकल्पिक मार्ग खोजने की कोशिश करूं?
"एसी चालू करो, बहुत गर्मी लग रही है।",एसी चालू कर दिया गया है। तापमान 22 डिग्री सेल्सियस पर सेट है। क्या आपको कुछ और ठंडा चाहिए?
अगला गाना बजाओ।,अगला गाना बजाया जा रहा है।
मुझे नींद आ रही है।,मुझे समझ आ रहा है। क्या मैं सीट को सीधा कर दूं और थोड़ा तेज़ संगीत चलाऊं?  यह भी सुनिश्चित कर लें कि आप ताज़ी हवा के लिए खिड़की खोल सकते हैं।
ये सड़क बहुत खराब है!  गाड़ी ठीक से चलाओ!,मैं माफ़ी चाहती हूँ। मैं सड़क की स्थिति के अनुसार ड्राइविंग को समायोजित कर रही हूँ। कृपया मुझे बताएं अगर आप कुछ और चाहते हैं।
"नेविगेशन शुरू करो, मुझे घर जाना है।","ठीक है, घर के लिए नेविगेशन शुरू किया जा रहा है। अनुमानित आगमन समय 6:30 बजे है। क्या कोई वैकल्पिक मार्ग चाहते हैं?"
मुझे बहुत गुस्सा आ रहा है!,शांत हो जाइए।  क्या मैं कोई शांतिपूर्ण संगीत चलाऊं या आस-पास के किसी शांत पार्क का रास्ता दिखाऊं?
म्यूज़िक बंद करो!,म्यूज़िक बंद कर दिया गया है।
आज मूड खराब है।,मैं समझती हूँ। क्या मैं आपको कोई प्रेरणादायक पॉडकास्ट चलाऊं या आपकी पसंद का कोई आरामदायक संगीत लगाऊं?
मुझे ज़ोर से प्यास लगी है।,मैं समझती हूँ। क्या मैं आस-पास के किसी कैफे या पेट्रोल पंप को खोजूं?
शीशा खोलो।,"कौन सा शीशा खोलना है?  ड्राइवर साइड वाला, पैसेंजर साइड वाला, या दोनों?"
ड्राइवर साइड वाला शीशा खोलो।,ड्राइवर साइड वाला शीशा खोला जा रहा है।
मुझे बहुत ठंडा लग रहा है।,"ठीक है, मैं हीटर चालू कर रही हूँ। तापमान आपके आराम के अनुसार समायोजित कर सकते हैं।"
"ये गाना मुझे पसंद नहीं है, बदल दो।",गाना बदल दिया गया है।
मुझे भूख लग रही है।,समझ गई। क्या मैं आस-पास के रेस्टोरेंट खोजूँ?
"हेडलाइट्स चालू करो, अंधेरा हो रहा है।",हेडलाइट्स चालू कर दी गई हैं।
मुझे रास्ता भूल गया हूँ।,"कोई बात नहीं, मैं यहाँ हूँ। कृपया अपनी मंजिल बताएं, मैं आपको वहां ले चलूँगी।"
